🇨🇳央视频道,#genre#
CCTV-1,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV-1,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-1,http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1,rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.129.164/TVOD/88888888/224/3221226754/1.m3u8
CCTV-1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2,http://39.134.68.169:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228248/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-3,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3,http://39.134.68.169:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV-3,http://39.134.68.169:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV-3,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-3,http://117.148.179.183/TVOD/88888888/224/3221231682/index.m3u8
CCTV-3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5,http://117.148.179.142/PLTV/88888888/224/3221232440/index.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV-5+.http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+,http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5+,http://183.207.249.133/ott.js.chinamobile.com/PLTV/3/224/3221227463/index.m3u8
CCTV-6,http://39.130.202.77:6610/gitv_live/iptv-cctv6-hd/chunklist.m3u8
CCTV-6,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?
CCTV-6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
